subject,relation,object
"Irritable bowel syndrome (IBS), Inflammatory bowel disease (IBD)",available in language,"English, Hindi, Bengali, Marathi"
Feeling of incomplete bowel movement,indicates,"Constipation, Irritable bowel syndrome (IBS), Rectal prolapse"
"Constipation, Irritable bowel syndrome (IBS), Rectal prolapse",has severity,Mild
"Constipation, Irritable bowel syndrome (IBS), Rectal prolapse",lasts for,7 days
"Constipation, Irritable bowel syndrome (IBS), Rectal prolapse",common in,Pan-India
"Constipation, Irritable bowel syndrome (IBS), Rectal prolapse",available in language,"English, Hindi, Tamil, Telugu"
Straining during bowel movements,indicates,"Constipation, Hemorrhoids, Anal fissure"
"Constipation, Hemorrhoids, Anal fissure",has severity,Mild
"Constipation, Hemorrhoids, Anal fissure",lasts for,5 days
"Constipation, Hemorrhoids, Anal fissure",common in,Pan-India
"Constipation, Hemorrhoids, Anal fissure",available in language,"English, Hindi, Bengali, Malayalam"
Loss of bowel control,indicates,"Fecal incontinence, Diarrhea, Nerve damage"
"Fecal incontinence, Diarrhea, Nerve damage",has severity,Severe
"Fecal incontinence, Diarrhea, Nerve damage",lasts for,3 days
"Fecal incontinence, Diarrhea, Nerve damage",common in,Pan-India
"Fecal incontinence, Diarrhea, Nerve damage",available in language,"English, Hindi, Bengali, Marathi"
Increased abdominal girth,indicates,"Ascites (fluid accumulation), Obesity, Tumor"
"Ascites (fluid accumulation), Obesity, Tumor",has severity,Moderate
"Ascites (fluid accumulation), Obesity, Tumor",lasts for,30 days
"Ascites (fluid accumulation), Obesity, Tumor",common in,Pan-India
"Ascites (fluid accumulation), Obesity, Tumor",available in language,"English, Hindi, Tamil, Telugu"
Visible veins on abdomen,indicates,"Liver cirrhosis (caput medusae), Portal hypertension"
"Liver cirrhosis (caput medusae), Portal hypertension",has severity,Severe
"Liver cirrhosis (caput medusae), Portal hypertension",lasts for,60 days
"Liver cirrhosis (caput medusae), Portal hypertension",common in,Pan-India
"Liver cirrhosis (caput medusae), Portal hypertension",available in language,"English, Hindi, Bengali, Malayalam"
Abdominal rigidity,indicates,"Peritonitis, Appendicitis, Bowel perforation"
"Peritonitis, Appendicitis, Bowel perforation",has severity,Severe
"Peritonitis, Appendicitis, Bowel perforation",lasts for,1 days
"Peritonitis, Appendicitis, Bowel perforation",common in,Pan-India
"Peritonitis, Appendicitis, Bowel perforation",available in language,"English, Hindi, Tamil, Kannada"
Rebound tenderness in abdomen,indicates,"Peritonitis, Appendicitis"
"Peritonitis, Appendicitis",has severity,Severe
"Peritonitis, Appendicitis",lasts for,1 days
"Peritonitis, Appendicitis",common in,Pan-India
"Peritonitis, Appendicitis",available in language,"English, Hindi, Bengali, Marathi"
Abdominal guarding,indicates,"Appendicitis, Peritonitis, Cholecystitis"
"Appendicitis, Peritonitis, Cholecystitis",has severity,Severe
"Appendicitis, Peritonitis, Cholecystitis",lasts for,1 days
"Appendicitis, Peritonitis, Cholecystitis",common in,Pan-India
"Appendicitis, Peritonitis, Cholecystitis",available in language,"English, Hindi, Tamil, Telugu"
Loss of appetite for specific foods,indicates,"Pregnancy cravings/aversions, Food intolerance, Psychological factors"
"Pregnancy cravings/aversions, Food intolerance, Psychological factors",has severity,Mild
"Pregnancy cravings/aversions, Food intolerance, Psychological factors",lasts for,14 days
"Pregnancy cravings/aversions, Food intolerance, Psychological factors",common in,Pan-India
"Pregnancy cravings/aversions, Food intolerance, Psychological factors",available in language,"English, Hindi, Bengali, Malayalam"
Craving non-food items (Pica),indicates,"Iron deficiency anemia, Malnutrition, Pregnancy"
"Iron deficiency anemia, Malnutrition, Pregnancy",has severity,Moderate
"Iron deficiency anemia, Malnutrition, Pregnancy",lasts for,30 days
"Iron deficiency anemia, Malnutrition, Pregnancy",common in,Rural India
"Iron deficiency anemia, Malnutrition, Pregnancy",available in language,"English, Hindi, Tamil, Kannada"
Metallic taste in mouth,indicates,"Medication side effect, Pregnancy, Gum disease"
"Medication side effect, Pregnancy, Gum disease",has severity,Mild
"Medication side effect, Pregnancy, Gum disease",lasts for,7 days
"Medication side effect, Pregnancy, Gum disease",common in,Pan-India
"Medication side effect, Pregnancy, Gum disease",available in language,"English, Hindi, Bengali, Marathi"
Sour taste in mouth,indicates,"Gastroesophageal reflux disease (GERD), Gastritis"
"Gastroesophageal reflux disease (GERD), Gastritis",has severity,Mild
"Gastroesophageal reflux disease (GERD), Gastritis",lasts for,5 days
"Gastroesophageal reflux disease (GERD), Gastritis",common in,Pan-India
"Gastroesophageal reflux disease (GERD), Gastritis",available in language,"English, Hindi, Tamil, Telugu"
Bitter taste in mouth,indicates,"Acid reflux, Liver or gallbladder problems, Medication side effect"
"Acid reflux, Liver or gallbladder problems, Medication side effect",has severity,Mild
"Acid reflux, Liver or gallbladder problems, Medication side effect",lasts for,5 days
"Acid reflux, Liver or gallbladder problems, Medication side effect",common in,Pan-India
"Acid reflux, Liver or gallbladder problems, Medication side effect",available in language,"English, Hindi, Bengali, Malayalam"
Food aversion,indicates,"Eating disorder, Pregnancy, Chemotherapy side effect"
"Eating disorder, Pregnancy, Chemotherapy side effect",has severity,Moderate
"Eating disorder, Pregnancy, Chemotherapy side effect",lasts for,30 days
"Eating disorder, Pregnancy, Chemotherapy side effect",common in,Pan-India
"Eating disorder, Pregnancy, Chemotherapy side effect",available in language,"English, Hindi, Tamil, Kannada"
Feeling full quickly (Early satiety),indicates,"Gastroparesis, Stomach ulcer, Stomach cancer"
"Gastroparesis, Stomach ulcer, Stomach cancer",has severity,Moderate
"Gastroparesis, Stomach ulcer, Stomach cancer",lasts for,14 days
"Gastroparesis, Stomach ulcer, Stomach cancer",common in,Pan-India
"Gastroparesis, Stomach ulcer, Stomach cancer",available in language,"English, Hindi, Bengali, Marathi"
Pain after eating,indicates,"Gastritis, Peptic ulcer, Gallstones"
"Gastritis, Peptic ulcer, Gallstones",has severity,Moderate
"Gastritis, Peptic ulcer, Gallstones",lasts for,3 days
"Gastritis, Peptic ulcer, Gallstones",common in,Pan-India
"Gastritis, Peptic ulcer, Gallstones",available in language,"English, Hindi, Tamil, Telugu"
Bloating after eating,indicates,"Irritable bowel syndrome (IBS), Food intolerance, Gastroparesis"
"Irritable bowel syndrome (IBS), Food intolerance, Gastroparesis",has severity,Mild
"Irritable bowel syndrome (IBS), Food intolerance, Gastroparesis",lasts for,2 days
"Irritable bowel syndrome (IBS), Food intolerance, Gastroparesis",common in,Pan-India
"Irritable bowel syndrome (IBS), Food intolerance, Gastroparesis",available in language,"English, Hindi, Bengali, Malayalam"
Indigestion,indicates,"Gastroesophageal reflux disease (GERD), Peptic ulcer, Gastritis"
"Gastroesophageal reflux disease (GERD), Peptic ulcer, Gastritis",has severity,Mild
"Gastroesophageal reflux disease (GERD), Peptic ulcer, Gastritis",lasts for,3 days
"Gastroesophageal reflux disease (GERD), Peptic ulcer, Gastritis",common in,Pan-India
"Gastroesophageal reflux disease (GERD), Peptic ulcer, Gastritis",available in language,"English, Hindi, Tamil, Kannada"
Heartburn,indicates,"Gastroesophageal reflux disease (GERD), Hiatal hernia, Pregnancy"
"Gastroesophageal reflux disease (GERD), Hiatal hernia, Pregnancy",has severity,Mild
"Gastroesophageal reflux disease (GERD), Hiatal hernia, Pregnancy",lasts for,2 days
"Gastroesophageal reflux disease (GERD), Hiatal hernia, Pregnancy",common in,Pan-India
"Gastroesophageal reflux disease (GERD), Hiatal hernia, Pregnancy",available in language,"English, Hindi, Bengali, Marathi"
Regurgitation of food or sour liquid,indicates,"Gastroesophageal reflux disease (GERD), Achalasia"
"Gastroesophageal reflux disease (GERD), Achalasia",has severity,Moderate
"Gastroesophageal reflux disease (GERD), Achalasia",lasts for,3 days
"Gastroesophageal reflux disease (GERD), Achalasia",common in,Pan-India
"Gastroesophageal reflux disease (GERD), Achalasia",available in language,"English, Hindi, Tamil, Telugu"
Water brash (excess saliva with reflux),indicates,Gastroesophageal reflux disease (GERD)
Gastroesophageal reflux disease (GERD),has severity,Mild
Gastroesophageal reflux disease (GERD),lasts for,2 days
Gastroesophageal reflux disease (GERD),common in,Pan-India
Gastroesophageal reflux disease (GERD),available in language,"English, Hindi, Bengali, Malayalam"
Difficulty swallowing solids,indicates,"Esophageal stricture, Esophageal cancer, Achalasia"
"Esophageal stricture, Esophageal cancer, Achalasia",has severity,Moderate
"Esophageal stricture, Esophageal cancer, Achalasia",lasts for,21 days
"Esophageal stricture, Esophageal cancer, Achalasia",common in,Pan-India
"Esophageal stricture, Esophageal cancer, Achalasia",available in language,"English, Hindi, Tamil, Kannada"
Difficulty swallowing liquids,indicates,"Achalasia, Stroke, Neurological disorders"
"Achalasia, Stroke, Neurological disorders",has severity,Severe
"Achalasia, Stroke, Neurological disorders",lasts for,14 days
"Achalasia, Stroke, Neurological disorders",common in,Pan-India
"Achalasia, Stroke, Neurological disorders",available in language,"English, Hindi, Bengali, Marathi"
Painful swallowing (Odynophagia),indicates,"Esophagitis, Oral thrush, Throat infection"
"Esophagitis, Oral thrush, Throat infection",has severity,Moderate
"Esophagitis, Oral thrush, Throat infection",lasts for,7 days
"Esophagitis, Oral thrush, Throat infection",common in,Pan-India
"Esophagitis, Oral thrush, Throat infection",available in language,"English, Hindi, Tamil, Telugu"
Feeling of food stuck in throat,indicates,"Esophageal stricture, Globus sensation, GERD"
"Esophageal stricture, Globus sensation, GERD",has severity,Moderate
"Esophageal stricture, Globus sensation, GERD",lasts for,7 days
"Esophageal stricture, Globus sensation, GERD",common in,Pan-India
"Esophageal stricture, Globus sensation, GERD",available in language,"English, Hindi, Bengali, Malayalam"
Chest pressure,indicates,"Angina, Heart attack, GERD"
"Angina, Heart attack, GERD",has severity,Severe
"Angina, Heart attack, GERD",lasts for,1 days
"Angina, Heart attack, GERD",common in,Pan-India
"Angina, Heart attack, GERD",available in language,"English, Hindi, Tamil, Kannada"
Chest tightness,indicates,"Asthma, Anxiety attack, Angina"
"Asthma, Anxiety attack, Angina",has severity,Moderate
"Asthma, Anxiety attack, Angina",lasts for,1 days
"Asthma, Anxiety attack, Angina",common in,Pan-India
"Asthma, Anxiety attack, Angina",available in language,"English, Hindi, Bengali, Marathi"
Sharp chest pain,indicates,"Pleurisy, Pericarditis, Muscle strain"
"Pleurisy, Pericarditis, Muscle strain",has severity,Severe
"Pleurisy, Pericarditis, Muscle strain",lasts for,3 days
"Pleurisy, Pericarditis, Muscle strain",common in,Pan-India
"Pleurisy, Pericarditis, Muscle strain",available in language,"English, Hindi, Tamil, Telugu"
Burning sensation in chest,indicates,"Heartburn (GERD), Angina, Esophagitis"
"Heartburn (GERD), Angina, Esophagitis",has severity,Moderate
"Heartburn (GERD), Angina, Esophagitis",lasts for,2 days
"Heartburn (GERD), Angina, Esophagitis",common in,Pan-India
"Heartburn (GERD), Angina, Esophagitis",available in language,"English, Hindi, Bengali, Malayalam"
Pain radiating to arm/jaw/back,indicates,"Heart attack, Angina"
"Heart attack, Angina",has severity,Severe
"Heart attack, Angina",lasts for,1 days
"Heart attack, Angina",common in,Pan-India
"Heart attack, Angina",available in language,"English, Hindi, Tamil, Kannada"
Shortness of breath with exertion,indicates,"Heart failure, COPD, Anemia"
"Heart failure, COPD, Anemia",has severity,Moderate
"Heart failure, COPD, Anemia",lasts for,14 days
"Heart failure, COPD, Anemia",common in,Pan-India
"Heart failure, COPD, Anemia",available in language,"English, Hindi, Bengali, Marathi"
Shortness of breath at rest,indicates,"Pulmonary embolism, Pneumonia, Severe heart failure"
"Pulmonary embolism, Pneumonia, Severe heart failure",has severity,Severe
"Pulmonary embolism, Pneumonia, Severe heart failure",lasts for,3 days
"Pulmonary embolism, Pneumonia, Severe heart failure",common in,Pan-India
"Pulmonary embolism, Pneumonia, Severe heart failure",available in language,"English, Hindi, Tamil, Telugu"
Shortness of breath when lying flat (Orthopnea),indicates,"Heart failure, Severe COPD, Obesity"
"Heart failure, Severe COPD, Obesity",has severity,Severe
"Heart failure, Severe COPD, Obesity",lasts for,7 days
"Heart failure, Severe COPD, Obesity",common in,Pan-India
"Heart failure, Severe COPD, Obesity",available in language,"English, Hindi, Bengali, Malayalam"
Waking up breathless (Paroxysmal nocturnal dyspnea),indicates,"Heart failure, Sleep apnea"
"Heart failure, Sleep apnea",has severity,Severe
"Heart failure, Sleep apnea",lasts for,7 days
"Heart failure, Sleep apnea",common in,Pan-India
"Heart failure, Sleep apnea",available in language,"English, Hindi, Tamil, Kannada"
Rapid breathing (Tachypnea),indicates,"Pneumonia, Asthma attack, Anxiety"
"Pneumonia, Asthma attack, Anxiety",has severity,Moderate
"Pneumonia, Asthma attack, Anxiety",lasts for,3 days
"Pneumonia, Asthma attack, Anxiety",common in,Pan-India
"Pneumonia, Asthma attack, Anxiety",available in language,"English, Hindi, Bengali, Marathi"
Shallow breathing,indicates,"Pain, Anxiety, Respiratory muscle weakness"
"Pain, Anxiety, Respiratory muscle weakness",has severity,Moderate
"Pain, Anxiety, Respiratory muscle weakness",lasts for,3 days
"Pain, Anxiety, Respiratory muscle weakness",common in,Pan-India
"Pain, Anxiety, Respiratory muscle weakness",available in language,"English, Hindi, Tamil, Telugu"
Blue lips or fingernails (Cyanosis),indicates,"Hypoxia (low oxygen), Heart failure, Severe lung disease"
"Hypoxia (low oxygen), Heart failure, Severe lung disease",has severity,Severe
"Hypoxia (low oxygen), Heart failure, Severe lung disease",lasts for,1 days
"Hypoxia (low oxygen), Heart failure, Severe lung disease",common in,North India
"Hypoxia (low oxygen), Heart failure, Severe lung disease",available in language,"English, Hindi, Punjabi, Urdu"
Clubbing of fingers/toes,indicates,"Chronic lung disease, Congenital heart disease, Lung cancer"
"Chronic lung disease, Congenital heart disease, Lung cancer",has severity,Moderate
"Chronic lung disease, Congenital heart disease, Lung cancer",lasts for,180 days
"Chronic lung disease, Congenital heart disease, Lung cancer",common in,Pan-India
"Chronic lung disease, Congenital heart disease, Lung cancer",available in language,"English, Hindi, Tamil, Kannada"
Coughing up blood (Hemoptysis),indicates,"Tuberculosis, Lung cancer, Bronchiectasis"
"Tuberculosis, Lung cancer, Bronchiectasis",has severity,Severe
"Tuberculosis, Lung cancer, Bronchiectasis",lasts for,7 days
"Tuberculosis, Lung cancer, Bronchiectasis",common in,North India
"Tuberculosis, Lung cancer, Bronchiectasis",available in language,"English, Hindi, Punjabi, Urdu"
Coughing up thick phlegm,indicates,"Bronchitis, Pneumonia, Cystic fibrosis"
"Bronchitis, Pneumonia, Cystic fibrosis",has severity,Moderate
"Bronchitis, Pneumonia, Cystic fibrosis",lasts for,14 days
"Bronchitis, Pneumonia, Cystic fibrosis",common in,North India
"Bronchitis, Pneumonia, Cystic fibrosis",available in language,"English, Hindi, Punjabi, Urdu"
Coughing up yellow/green phlegm,indicates,"Bacterial infection (bronchitis, pneumonia)"
"Bacterial infection (bronchitis, pneumonia)",has severity,Moderate
"Bacterial infection (bronchitis, pneumonia)",lasts for,10 days
"Bacterial infection (bronchitis, pneumonia)",common in,North India
"Bacterial infection (bronchitis, pneumonia)",available in language,"English, Hindi, Punjabi, Urdu"
Barking cough,indicates,"Croup, Laryngitis"
"Croup, Laryngitis",has severity,Moderate
"Croup, Laryngitis",lasts for,5 days
"Croup, Laryngitis",common in,Pan-India
"Croup, Laryngitis",available in language,"English, Hindi, Bengali, Marathi"
Whooping cough sound,indicates,Pertussis
Pertussis,has severity,Severe
Pertussis,lasts for,21 days
Pertussis,common in,Pan-India
Pertussis,available in language,"English, Hindi, Tamil, Telugu"
Chronic cough (more than 8 weeks),indicates,"Asthma, COPD, Postnasal drip"
"Asthma, COPD, Postnasal drip",has severity,Moderate
"Asthma, COPD, Postnasal drip",lasts for,60 days
"Asthma, COPD, Postnasal drip",common in,Pan-India
"Asthma, COPD, Postnasal drip",available in language,"English, Hindi, Bengali, Malayalam"
Voice change,indicates,"Laryngitis, Vocal cord nodules, Thyroid problems"
"Laryngitis, Vocal cord nodules, Thyroid problems",has severity,Mild
"Laryngitis, Vocal cord nodules, Thyroid problems",lasts for,10 days
"Laryngitis, Vocal cord nodules, Thyroid problems",common in,Pan-India
"Laryngitis, Vocal cord nodules, Thyroid problems",available in language,"English, Hindi, Tamil, Kannada"
Loss of voice,indicates,"Laryngitis, Vocal cord paralysis, Overuse"
"Laryngitis, Vocal cord paralysis, Overuse",has severity,Moderate
"Laryngitis, Vocal cord paralysis, Overuse",lasts for,7 days
"Laryngitis, Vocal cord paralysis, Overuse",common in,Pan-India
"Laryngitis, Vocal cord paralysis, Overuse",available in language,"English, Hindi, Bengali, Marathi"
Pain when speaking,indicates,"Laryngitis, Vocal cord strain"
"Laryngitis, Vocal cord strain",has severity,Mild
"Laryngitis, Vocal cord strain",lasts for,5 days
"Laryngitis, Vocal cord strain",common in,Pan-India
"Laryngitis, Vocal cord strain",available in language,"English, Hindi, Tamil, Telugu"
Ear fullness,indicates,"Eustachian tube dysfunction, Earwax impaction, Meniere's disease"
"Eustachian tube dysfunction, Earwax impaction, Meniere's disease",has severity,Mild
"Eustachian tube dysfunction, Earwax impaction, Meniere's disease",lasts for,5 days
"Eustachian tube dysfunction, Earwax impaction, Meniere's disease",common in,Pan-India
"Eustachian tube dysfunction, Earwax impaction, Meniere's disease",available in language,"English, Hindi, Bengali, Malayalam"
Ear discharge,indicates,"Ear infection (otitis media/externa), Ruptured eardrum"
"Ear infection (otitis media/externa), Ruptured eardrum",has severity,Moderate
"Ear infection (otitis media/externa), Ruptured eardrum",lasts for,7 days
"Ear infection (otitis media/externa), Ruptured eardrum",common in,Pan-India
"Ear infection (otitis media/externa), Ruptured eardrum",available in language,"English, Hindi, Tamil, Kannada"
Ringing in one ear,indicates,"Tinnitus, Acoustic neuroma, Meniere's disease"
"Tinnitus, Acoustic neuroma, Meniere's disease",has severity,Moderate
"Tinnitus, Acoustic neuroma, Meniere's disease",lasts for,14 days
"Tinnitus, Acoustic neuroma, Meniere's disease",common in,Pan-India
"Tinnitus, Acoustic neuroma, Meniere's disease",available in language,"English, Hindi, Bengali, Marathi"
Pulsating sound in ear,indicates,"Pulsatile tinnitus, Vascular abnormality, High blood pressure"
"Pulsatile tinnitus, Vascular abnormality, High blood pressure",has severity,Moderate
"Pulsatile tinnitus, Vascular abnormality, High blood pressure",lasts for,14 days
"Pulsatile tinnitus, Vascular abnormality, High blood pressure",common in,Pan-India
"Pulsatile tinnitus, Vascular abnormality, High blood pressure",available in language,"English, Hindi, Tamil, Telugu"
Hearing voices when alone,indicates,"Auditory hallucinations (Schizophrenia, psychosis)"
"Auditory hallucinations (Schizophrenia, psychosis)",has severity,Severe
"Auditory hallucinations (Schizophrenia, psychosis)",lasts for,30 days
"Auditory hallucinations (Schizophrenia, psychosis)",common in,Pan-India
"Auditory hallucinations (Schizophrenia, psychosis)",available in language,"English, Hindi, Bengali, Malayalam"
Muffled hearing,indicates,"Earwax impaction, Otitis media, Eustachian tube dysfunction"
"Earwax impaction, Otitis media, Eustachian tube dysfunction",has severity,Mild
"Earwax impaction, Otitis media, Eustachian tube dysfunction",lasts for,7 days
"Earwax impaction, Otitis media, Eustachian tube dysfunction",common in,Pan-India
"Earwax impaction, Otitis media, Eustachian tube dysfunction",available in language,"English, Hindi, Tamil, Kannada"
Sudden hearing loss,indicates,"Sensorineural hearing loss, Viral infection, Stroke"
"Sensorineural hearing loss, Viral infection, Stroke",has severity,Severe
"Sensorineural hearing loss, Viral infection, Stroke",lasts for,3 days
"Sensorineural hearing loss, Viral infection, Stroke",common in,Pan-India
"Sensorineural hearing loss, Viral infection, Stroke",available in language,"English, Hindi, Bengali, Marathi"
Gradual hearing loss,indicates,"Age-related hearing loss, Noise exposure, Otosclerosis"
"Age-related hearing loss, Noise exposure, Otosclerosis",has severity,Moderate
"Age-related hearing loss, Noise exposure, Otosclerosis",lasts for,365 days
"Age-related hearing loss, Noise exposure, Otosclerosis",common in,Pan-India
"Age-related hearing loss, Noise exposure, Otosclerosis",available in language,"English, Hindi, Tamil, Telugu"
Pain behind the ear,indicates,"Mastoiditis, Otitis media, Shingles"
"Mastoiditis, Otitis media, Shingles",has severity,Moderate
"Mastoiditis, Otitis media, Shingles",lasts for,7 days
"Mastoiditis, Otitis media, Shingles",common in,Pan-India
"Mastoiditis, Otitis media, Shingles",available in language,"English, Hindi, Bengali, Malayalam"
Itchy ear canal,indicates,"Otitis externa (swimmer's ear), Eczema, Fungal infection"
"Otitis externa (swimmer's ear), Eczema, Fungal infection",has severity,Mild
"Otitis externa (swimmer's ear), Eczema, Fungal infection",lasts for,5 days
"Otitis externa (swimmer's ear), Eczema, Fungal infection",common in,Pan-India
"Otitis externa (swimmer's ear), Eczema, Fungal infection",available in language,"English, Hindi, Tamil, Kannada"
Eye redness,indicates,"Conjunctivitis (pink eye), Dry eye, Uveitis"
"Conjunctivitis (pink eye), Dry eye, Uveitis",has severity,Mild
"Conjunctivitis (pink eye), Dry eye, Uveitis",lasts for,7 days
"Conjunctivitis (pink eye), Dry eye, Uveitis",common in,Pan-India
"Conjunctivitis (pink eye), Dry eye, Uveitis",available in language,"English, Hindi, Bengali, Marathi"
Eye discharge (pus or watery),indicates,"Conjunctivitis, Blocked tear duct, Corneal ulcer"
"Conjunctivitis, Blocked tear duct, Corneal ulcer",has severity,Mild
"Conjunctivitis, Blocked tear duct, Corneal ulcer",lasts for,7 days
"Conjunctivitis, Blocked tear duct, Corneal ulcer",common in,Pan-India
"Conjunctivitis, Blocked tear duct, Corneal ulcer",available in language,"English, Hindi, Tamil, Telugu"
Gritty sensation in eye,indicates,"Dry eye syndrome, Foreign body, Blepharitis"
"Dry eye syndrome, Foreign body, Blepharitis",has severity,Mild
"Dry eye syndrome, Foreign body, Blepharitis",lasts for,3 days
"Dry eye syndrome, Foreign body, Blepharitis",common in,Pan-India
"Dry eye syndrome, Foreign body, Blepharitis",available in language,"English, Hindi, Bengali, Malayalam"
Crusting of eyelids upon waking,indicates,"Blepharitis, Conjunctivitis"
"Blepharitis, Conjunctivitis",has severity,Mild
"Blepharitis, Conjunctivitis",lasts for,7 days
"Blepharitis, Conjunctivitis",common in,Pan-India
"Blepharitis, Conjunctivitis",available in language,"English, Hindi, Tamil, Kannada"
Stye (painful lump on eyelid),indicates,Infected eyelash follicle
Infected eyelash follicle,has severity,Mild
Infected eyelash follicle,lasts for,7 days
Infected eyelash follicle,common in,Pan-India
Infected eyelash follicle,available in language,"English, Hindi, Bengali, Marathi"
Chalazion (painless lump on eyelid),indicates,Blocked oil gland
Blocked oil gland,has severity,Mild
Blocked oil gland,lasts for,30 days
Blocked oil gland,common in,Pan-India
Blocked oil gland,available in language,"English, Hindi, Tamil, Telugu"
Droopy eyelid (Ptosis),indicates,"Myasthenia gravis, Nerve damage, Aging"
"Myasthenia gravis, Nerve damage, Aging",has severity,Moderate
"Myasthenia gravis, Nerve damage, Aging",lasts for,60 days
"Myasthenia gravis, Nerve damage, Aging",common in,Pan-India
"Myasthenia gravis, Nerve damage, Aging",available in language,"English, Hindi, Bengali, Malayalam"
Eyelid twitching,indicates,"Stress, Fatigue, Caffeine"
"Stress, Fatigue, Caffeine",has severity,Mild
"Stress, Fatigue, Caffeine",lasts for,3 days
"Stress, Fatigue, Caffeine",common in,Pan-India
"Stress, Fatigue, Caffeine",available in language,"English, Hindi, Tamil, Kannada"
Inability to close eye completely,indicates,"Bell's palsy, Stroke, Facial nerve injury"
"Bell's palsy, Stroke, Facial nerve injury",has severity,Severe
"Bell's palsy, Stroke, Facial nerve injury",lasts for,14 days
"Bell's palsy, Stroke, Facial nerve injury",common in,Pan-India
"Bell's palsy, Stroke, Facial nerve injury",available in language,"English, Hindi, Bengali, Marathi"
Seeing floaters,indicates,"Posterior vitreous detachment, Retinal tear, Uveitis"
"Posterior vitreous detachment, Retinal tear, Uveitis",has severity,Mild
"Posterior vitreous detachment, Retinal tear, Uveitis",lasts for,14 days
"Posterior vitreous detachment, Retinal tear, Uveitis",common in,Pan-India
"Posterior vitreous detachment, Retinal tear, Uveitis",available in language,"English, Hindi, Tamil, Telugu"
Seeing flashes of light,indicates,"Retinal tear or detachment, Migraine aura"
"Retinal tear or detachment, Migraine aura",has severity,Severe
"Retinal tear or detachment, Migraine aura",lasts for,1 days
"Retinal tear or detachment, Migraine aura",common in,Pan-India
"Retinal tear or detachment, Migraine aura",available in language,"English, Hindi, Bengali, Malayalam"
Curtain or veil over vision,indicates,Retinal detachment
Retinal detachment,has severity,Severe
Retinal detachment,lasts for,1 days
Retinal detachment,common in,Pan-India
Retinal detachment,available in language,"English, Hindi, Tamil, Kannada"
Tunnel vision,indicates,"Glaucoma, Retinitis pigmentosa, Stroke"
"Glaucoma, Retinitis pigmentosa, Stroke",has severity,Severe
"Glaucoma, Retinitis pigmentosa, Stroke",lasts for,180 days
"Glaucoma, Retinitis pigmentosa, Stroke",common in,Pan-India
"Glaucoma, Retinitis pigmentosa, Stroke",available in language,"English, Hindi, Bengali, Marathi"
Blind spots in vision,indicates,"Macular degeneration, Glaucoma, Optic neuritis"
"Macular degeneration, Glaucoma, Optic neuritis",has severity,Moderate
"Macular degeneration, Glaucoma, Optic neuritis",lasts for,60 days
"Macular degeneration, Glaucoma, Optic neuritis",common in,Pan-India
"Macular degeneration, Glaucoma, Optic neuritis",available in language,"English, Hindi, Tamil, Telugu"
Distorted vision (straight lines appear wavy),indicates,"Macular degeneration, Diabetic retinopathy"
"Macular degeneration, Diabetic retinopathy",has severity,Moderate
"Macular degeneration, Diabetic retinopathy",lasts for,30 days
"Macular degeneration, Diabetic retinopathy",common in,Pan-India
"Macular degeneration, Diabetic retinopathy",available in language,"English, Hindi, Bengali, Malayalam"
Difficulty seeing at night,indicates,"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa"
"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa",has severity,Moderate
"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa",lasts for,60 days
"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa",common in,Rural India
"Night blindness (Vitamin A def.), Cataracts, Retinitis pigmentosa",available in language,"English, Hindi, Tamil, Kannada"
Halos around lights,indicates,"Cataracts, Glaucoma, Corneal edema"
"Cataracts, Glaucoma, Corneal edema",has severity,Moderate
"Cataracts, Glaucoma, Corneal edema",lasts for,30 days
"Cataracts, Glaucoma, Corneal edema",common in,Pan-India
"Cataracts, Glaucoma, Corneal edema",available in language,"English, Hindi, Bengali, Marathi"
Need for brighter light when reading,indicates,"Presbyopia (age-related farsightedness), Cataracts"
"Presbyopia (age-related farsightedness), Cataracts",has severity,Mild
"Presbyopia (age-related farsightedness), Cataracts",lasts for,180 days
"Presbyopia (age-related farsightedness), Cataracts",common in,Pan-India
"Presbyopia (age-related farsightedness), Cataracts",available in language,"English, Hindi, Tamil, Telugu"
Frequent changes in eyeglass prescription,indicates,"Diabetes, Cataracts, Keratoconus"
"Diabetes, Cataracts, Keratoconus",has severity,Moderate
"Diabetes, Cataracts, Keratoconus",lasts for,90 days
"Diabetes, Cataracts, Keratoconus",common in,Pan-India
"Diabetes, Cataracts, Keratoconus",available in language,"English, Hindi, Bengali, Malayalam"
Crossed eyes (Strabismus),indicates,"Muscle imbalance, Nerve problems, Refractive error"
"Muscle imbalance, Nerve problems, Refractive error",has severity,Moderate
"Muscle imbalance, Nerve problems, Refractive error",lasts for,180 days
"Muscle imbalance, Nerve problems, Refractive error",common in,Pan-India
"Muscle imbalance, Nerve problems, Refractive error",available in language,"English, Hindi, Tamil, Kannada"
Lazy eye (Amblyopia),indicates,"Strabismus, Unequal refractive error, Cataract in childhood"
"Strabismus, Unequal refractive error, Cataract in childhood",has severity,Moderate
"Strabismus, Unequal refractive error, Cataract in childhood",lasts for,365 days
"Strabismus, Unequal refractive error, Cataract in childhood",common in,Pan-India
